,maxiter1,maxiter2,target_noise,feature_noise,optimizer,pruning_iterations,pruning_cut_off,classifier,local_minimizer,maxiter_per_dim_local_minimizer,max_dataset_length,lambda_1,repetitions,parallel,n_processes,lambda_1_cut,lambda_1_piecewise,device,accuracy,time_limit,evaluations_limit,iterative_finetuning,max_n_active_parameters,lambda_1_finetuning,seed,relative_l2_train,relative_l2_val,success,training_time
37,50,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,123,0.10340908290693944,366.15293758895405,0.7333333333333333,108.45166666666667
38,50,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1234,0.08805963162790191,286.91906465672133,0.7333333333333333,126.0562
39,50,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,12345,0.07938039918492985,0.07836566078024174,0.7333333333333333,127.26626666666667
40,50,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,123456,0.097268858297757,0.0977572344540765,0.6666666666666666,123.76219999999999
41,50,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1234567,0.10164498557066275,110.51905591923874,0.8,127.10933333333334
42,100,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1,0.08752705547597915,10964.966812280392,0.7333333333333333,243.744
43,100,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,12,0.0899157783547227,3726.8511170634492,0.7333333333333333,247.26139999999998
44,100,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,123,0.09188810760670447,5435.588478693734,0.7333333333333333,215.82666666666668
45,100,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1234,0.08956817184619811,271.8180177128057,0.7333333333333333,241.61766666666668
46,100,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,12345,0.07567321200270527,0.07501394086211256,0.6666666666666666,251.03406666666666
47,100,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,123456,0.08813602745076539,0.0887386127988475,0.7333333333333333,239.67973333333333
48,100,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1234567,0.08773094152153026,0.08894324905923891,0.8,235.44993333333335
