,seed,model,maxiter1,maxiter2,target_noise,feature_noise,optimizer,pruning_iterations,pruning_cut_off,classifier,local_minimizer,maxiter_per_dim_local_minimizer,max_dataset_length,lambda_1,repetitions,parallel,n_processes,lambda_1_cut,lambda_1_piecewise,device,accuracy,time_limit,evaluations_limit,iterative_finetuning,max_n_active_parameters,lambda_1_finetuning,relative_l2_train,relative_l2_val,success,training_time
11,12,ParFamTorch,500,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2103433950686873,2054.6794579094008,0.3333333333333333,160.71453333333332
12,12,ParFamTorch,1000,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.21047134544682414,2054.6795980004113,0.3333333333333333,319.71113333333335
13,12,ParFamTorch,2000,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2123692137617164,573.1093827171914,0.4,725.0018
14,123,ParFamTorch,20,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.43423149037512687,1659.3153688989269,0.26666666666666666,7.8028666666666675
15,123,ParFamTorch,50,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.22199995260764688,1659.0968478708721,0.26666666666666666,17.5322
16,123,ParFamTorch,100,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.22199995260764688,1659.0968478708721,0.26666666666666666,33.485800000000005
17,123,ParFamTorch,200,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.22266069904433247,1659.097479328282,0.26666666666666666,65.30586666666666
18,123,ParFamTorch,500,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.22267196350645393,1659.0974867443877,0.26666666666666666,160.569
19,123,ParFamTorch,1000,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.22174874317164564,1659.0966186021385,0.26666666666666666,319.53340000000003
20,123,ParFamTorch,2000,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.1867186446060458,0.1896863251530223,0.6,723.4928
21,1234,ParFamTorch,20,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.21630448660523316,3958.2397347804244,0.26666666666666666,7.751
22,1234,ParFamTorch,50,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.21630448660523316,3958.2397347804244,0.26666666666666666,17.322266666666668
23,1234,ParFamTorch,100,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.21630448660523316,3958.2397347804244,0.26666666666666666,33.27433333333333
24,1234,ParFamTorch,200,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.21630448660523316,3958.2397347804244,0.26666666666666666,65.02313333333333
25,1234,ParFamTorch,500,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.21630448660523316,3958.2397347804244,0.26666666666666666,160.50726666666665
